AGRUPADOR,CÓDIGO BARRAS,DESCRIPCIÓN ARTICULO,UNIDAD MANEJO,CÓDIGO BARRAS UNIDAD MANEJO,PALLETIZADO,CANTIDAD POR PALLET,ALTO,ANCHO,PROFUNDIDAD,VOLUMEN,PESO,DENSIDAD,RESISTENCIA,CONTAMINANTE,TIPODESPACHO,RECIPIENTE
,61752,TOFFEE EMPACADO,1,,0,200,20,25,30,0.015,40,2666.666,,,DESPACHO LOCAL ARTICULO,
,61775,ANIMALIAS GALLETAS,8,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,61776,D LECHE CARAMELOS,2,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,61777,MANICHO WAFER,1,1.78621E+13,0,100,25,15,40,0.015,33,2200,,,DESPACHO LOCAL ARTICULO,
,61778,CHOCOBALINES,4,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,61779,MONEDAS CHOCOLATE,4,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,61782,SYLVER TOFFE FRUNA CHOCO-NATA,1,1.78611E+13,0,50,28,38,40,0.04256,10,234.962,,,DESPACHO LOCAL ARTICULO,
,61783,ARCOR BASTON VIENA,1,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,61784,COCOA CHOCOLATIER HUEVITOS,1,,0,50,30,40,50,0.06,14,233.333,,,DESPACHO LOCAL ARTICULO,
,61793,BONANZA GOMAS CORAZON,1,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,61794,MELO CARAMELO CHICLE FRESA,1,1.7861E+13,0,50,10,15,15,0.00225,5,2222.222,,,DESPACHO LOCAL ARTICULO,
,61926,BUBBALOO FRESA,32,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,61927,GIANDUIA CHOCOLATE,1,1.78621E+13,0,150,10,20,25,0.005,5,1000,,,DESPACHO LOCAL ARTICULO,
,61928,BUBBALOO SPARKIES,1,7.62221E+12,0,,27,33,47,0.041877,12,286.553,,,DESPACHO LOCAL ARTICULO,
,61928,BUBBALOO SPARKIES,32,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
