CODIGOARTICULO;CODIGOCLASIFICACION
1007356;1606
1007358;1606
1007359;1606
1007360;1606
1007421;1606
1007435;1606
1007906;3020
1007924;1124
1007926;3104
1007928;1326
1007929;3106
1007930;3106
1007953;1606
1007954;1606
1007955;1606
1007956;1606
1007957;1606
1008020;1606
1008021;1606
1008022;4122
1008023;3108
1008024;4126
1008025;4114
1008026;4122
1008028;4126
1008061;4118
1008062;1606
1008063;4162
1008196;4138
1008197;4104
1008198;4162
1008199;1606
1008208;1606
1008209;1606
1008222;3034
1008223;3034
1008224;3034
1008225;3034
1008226;1606
1008227;3020
1008239;1606
1008240;1704
1008242;1704
1008243;1704
1008244;1606
1008245;1704
1008248;1704
1008250;1704
1008251;1704
1008252;1704
1008253;1704
1008255;1704
1008256;1704
1008257;1704
1008259;1704
1008261;1704
1008262;1606
1008263;1704
1008265;1704
1008269;3046
1008270;1704
1008273;1704
1008274;1704
1008275;1704
1008276;1704
1008277;1040
1008286;1040
1008287;1606
100833;1702
100834;1702
100835;1702
1008358;1704
1008360;1704
1008361;1704
1008363;1704
1008364;1704
1008368;1704
1008370;1704
1008371;1704
1008373;1704
1008374;1704
1008384;3040
1008385;3040
1008386;3040
1008388;1606
1008389;1606
1008390;1606
1008391;1606
1008392;1606
1008412;1606
1008466;3044
1008516;1124
1008517;1124
1008518;1124
1008519;1124
1008524;1606
1008525;3012
1008526;1606
1008528;3022
1008531;3020
1008533;1606
1008534;1606
1008535;1606
1008536;1606
1008537;1606
1008538;1606
1008539;1606
1008540;1606
1008541;1606
1008542;1094
1008543;1008
1008544;1008
1008545;1008
1008546;1606
1008547;1016
1008548;1068
1008549;1040
1008550;1156
1008551;1040
1008552;1606
1008553;1006
1008554;1006
1008555;1068
1008556;1606
1008558;1606
1008559;1606
1008560;1606
1008561;1606
1008562;1606
1008576;1604
1008577;1604
1008578;1604
1008579;1606
1008580;1606
1008582;1606
1008583;1606
1008584;1606
1008585;1606
1008596;1606
1008610;1606
1008622;1012
1008623;1606
1008624;1606
1008720;1606
1008721;1040
1008723;1040
1008724;1040
1008725;1606
1008727;1606
1008728;1606
1008766;1606
1008767;1606
1009080;1606
1009081;1606
1009108;1606
1009131;1606
1009132;1606
1009133;1606
1009134;1606
1009140;1606
1009152;1310
1009168;1606
1009173;1606
1009174;1606
1009175;1606
1009176;1606
1009177;1606
1009178;1124
1009180;1122
1009181;1606
1009182;1606
1009183;1318
1009187;1704
1009188;1704
1009189;1704
1009191;1068
1009192;1704
1009193;1704
1009194;1704
1009195;1704
1009196;1606
1009198;1704
1009199;1704
1009230;1704
1009231;1704
1009232;1704
1009233;1606
1009234;1704
1009235;1704
1009266;1704
1009267;1704
1009268;1704
1009269;1704
1009270;1704
1009271;1704
1009272;1704
1009273;1704
1009274;1704
1009275;1704
1009276;1704
1009277;3028
1009278;1704
1009279;1704
1009280;1606
1009281;1606
1009282;1606
1009283;1606
100940;1702
100942;1702
100943;1702
100944;7016
100945;1702
100946;1702
100947;1702
100948;1702
100949;1702
100952;1702
1009529;1704
100953;1702
1009530;1704
1009532;1704
1009536;1606
1009537;1045
1009539;1045
100954;1702
100955;1702
100957;1702
100958;1702
100959;1702
1009595;1045
1009597;1606
1009598;1606
1009599;1606
100960;1702
1009600;1045
1009601;1606
1009602;1050
1009603;1013
1009605;1606
1009607;1606
1009608;1013
100961;1702
1009642;1606
1009643;1606
1009644;1606
1009645;1606
1009646;1018
1009684;1606
1009685;1606
1009686;1606
1009687;1003
1009688;1606
1009690;1606
1009702;1003
1009708;1606
1009709;1606
1009710;1606
1009713;1606
1009715;1155
100990;1125
100995;1035
100996;1035
1009968;3008
1009969;1606
1009970;1606
1009977;1606
1009987;1606
1009994;1606
1009995;1606
1009999;1606
1010001;1606
1010002;1606
1010003;1606
1010004;1116
1010005;1124
1010006;1124
1010007;1124
1010008;1364
1010009;1118
101001;1035
1010013;1606
1010014;1606
1010015;1118
1010016;1124
1010017;1312
1010018;1124
1010019;1146
101002;1035
1010020;1606
101008;1009
1010261;1606
1010262;1606
1010263;1606
1010264;1606
1010265;1606
1010266;1606
1010267;1606
1010352;1606
1010353;1606
1010354;1606
1010355;1606
1010464;1606
1010479;1606
1010669;1606
1010749;1606
1010902;8064
1010904;1606
1010906;1028
1010911;1606
1010912;1606
1010914;4126
1010915;1606
1010916;4126
1010917;4126
1010918;4126
1010919;4126
1010920;4126
1010921;4126
1010922;4126
1010923;4126
1010924;1606
1010925;4126
1010926;4126
1010927;4126
1010928;4126
1010929;4104
